brd_cd,sesn,account_id,대리상명칭(중국어),  amount  ,
M,26S,D011,成都市宝康服饰商贸有限公司,"120,087",
M,26S,D012,杭州宇振商业有限公司,"203,460",
M,26S,D014,重庆渲格商贸有限公司,"60,276",
M,26S,D016,武汉摩顶贸易有限公司,"87,065",
M,26S,D019,厦门时韫商贸有限公司,"60,860",
M,26S,D020,江西朝明潮贸易有限公司,"53,146",
M,26S,D021,山西凌皓国际贸易有限公司,"80,214",
M,26S,D022,新疆莘三石商贸有限公司,"32,341",
M,26S,D023,沈阳瑞元禾商贸有限公司,"52,692",
M,26S,D025,华初壹通国际贸易有限公司,"73,097",
M,26S,D026,深圳市普洛狮贸易有限公司,"63,874",
M,26S,D027,常春藤(广州)投资有限公司,"123,346",
M,26S,D028,厦门百轮服饰有限公司,"39,207",
M,26S,D029,北京嘉尚国际时装有限公司,"54,879",
M,26S,D030,西安美尚服饰商贸有限公司,,
M,26S,D031,成都莱恒商贸有限公司,"15,285",
M,26S,D032,深圳有盈贸易有限公司,"41,657",
M,26S,D036,北京潮流贸易有限公司,"6,270",
M,26S,D039,江苏骏溪网络科技有限公司,"109,209",
M,26S,D044,博润盛达（北京）贸易有限公司,,
M,26S,D045,星羽宏文（沈阳）商贸有限公司,"22,651",
M,26S,D047,内蒙古旭雅商贸有限公司,"56,835",
M,26S,D048,长沙市珀御商贸有限公司,"68,037",
M,26S,D049,北京鑫聚盛业服装服饰有限公司,"69,957",
M,26S,D050,青岛新航行贸易有限公司,,
M,26S,D051,江苏苏豪国际集团股份有限公司,"45,744",
M,26S,D063,南宁市菲诺电子科技有限公司,"47,374",
M,26S,D070,北京绮妙科技有限公司,"14,540",
M,26S,D072,云南恒磐商贸有限公司,"48,526",
M,26S,D073,山东德峻丰品牌管理有限公司,"107,317",
