account_id,sap_cd,account_nm_cn,store_cd,店仓名称,매장인원수,임차료 ,수수료율,인테리어,평균급여,보험율, bonus(매출기준%),Store Area,Open date,Closed date,Open Month,Amortization end Month,Closed Month,Store Type,Trade Zone ,Remodeling Date,Remodeling end Month
D001,8000015,上海凌博商贸有限公司,CN5768,ML 宿迁 宿城吾悦,5,"25,919.65",0.12,"22,916.67","4,715.17",0.25,0.03,188,2022-08-25,,202208,202408,,FP,F3,,202408
D001,8000015,上海凌博商贸有限公司,CN5766,ML 常州 环球港,8,"72,763.44",0.12,"51,634.15","4,862.02",0.23,0.03,198,2022-09-02,,202209,202409,,FP,F2,2025-09-13,202709
D001,8000015,上海凌博商贸有限公司,CN5764,ML 宣城 八佰伴,6,"39,543.66",0.14,"22,916.67","4,256.98",0.23,0.03,161,2022-09-07,,202209,202409,,FP,F3,,202409
D032,8000002,深圳有盈贸易有限公司,CN5763,ML 深圳 中洲湾,5,"35,843.26",0.11,"30,361.52","5,215.70",0.25,0.04,156,2022-12-15,,202212,202412,,FP,F3,,202412
D005,8000029,西安纳霁动力商贸有限公司,CN5760,ML 银川 建发大阅城奥莱 FO,6,"60,000.00",0.1,"4,000.00",4000,0.25,0.04,149,2022-08-27,,202208,202408,,FO,O2,,202408
D073,8000413,山东德峻丰品牌管理有限公司,CN5759,MK 济南 万象城,5,"51,675.00",0.19,"29,000.00","4,500.00",0.15,0.04,130,2022-08-13,,202208,202408,,FP,F1,,202408
D012,8000007,杭州宇振商业有限公司,CN5758,ML 杭州 下沙奥莱二店 FO,6,"184,368.31",0.16,"20,833.33","3,079.25",0.3,0.04,138,2022-08-07,,202208,202408,,FO,O1,,202408
D016,8000026,武汉摩顶贸易有限公司,CN5753,ML 武汉 佛罗伦萨奥莱 FO,7,"38,575.50",0.11,"40,000.00","4,800.00",0.28,0.04,288,2022-09-03,,202209,202409,,FO,O2,,202409
D004,8000030,哈尔滨麟嘉商贸有限公司,CN5752,ML 双鸭山 国际购物大厦,6,"68,749.73",0.16,"17,000.00","4,500.00",0.26,0.04,126,2022-08-26,,202208,202408,,FP,F4,,202408
D008,8000027,沈阳固孚固贸易有限公司,CN5751,ML 大连 金马路安盛,7,"67,940.00",0.17,"22,000.00","4,400.00",0.21,0.02,131,2022-08-25,,202208,202408,,FP,F4,,202408
D008,8000027,沈阳固孚固贸易有限公司,CN5750,ML 锦州 万达,8,"38,010.27",0,"31,000.00","4,400.00",0.26,0.04,151,2022-08-20,,202208,202408,,FP,F3,,202408
D021,8000023,山西凌皓国际贸易有限公司,CN5749,ML 晋城 万达,6,"21,048.50",0,"37,500.00","4,200.00",0.28,0.01,145,2022-08-18,,202208,202408,,FP,F4,,202408
D073,8000413,山东德峻丰品牌管理有限公司,CN5748,ML 青岛 凯德新都心,5,"63,959.00",0.1,"25,151.21","4,000.00",0.26,0.04,141,2022-08-12,,202208,202408,,FP,F3,,202408
D022,8000021,新疆莘三石商贸有限公司,CN5747,ML 喀什地 万达,6,"37,017.24",0,"32,000.00","4,400.00",0.26,0.04,211,2023-04-20,,202304,202504,,FP,F4,,202504
D073,8000413,山东德峻丰品牌管理有限公司,CN5746,ML 青岛 崂山万象汇,6,"100,110.00",0.13,"39,114.68","4,000.00",0.26,0.04,167,2022-08-27,,202208,202408,,FP,F2,2025-09-26,202709
D016,8000026,武汉摩顶贸易有限公司,CN5745,ML 武汉 武商梦时代-2F,7,"74,807.60",0.16,"40,000.00","4,800.00",0.28,0.04,186,2022-11-09,,202211,202411,,FP,F2,2025-10-01,202710
D016,8000026,武汉摩顶贸易有限公司,CN5744,ML 武汉 武商梦时代-5F,9,"103,944.51",0.16,"40,000.00","4,800.00",0.28,0.04,220,2022-11-09,,202211,202411,,FP,F2,2025-09-07,202709
D025,8000018,华初壹通国际贸易有限公司,CN5743,ML 承德 双百,6,"85,000.00",0.17,"40,000.00","4,000.00",0.28,0.04,214,2022-08-06,,202208,202408,,FP,F3,2025-09-28,202709
D025,8000018,华初壹通国际贸易有限公司,CN5742,ML 唐山 远洋城,5,"65,613.00",0,"40,000.00","4,000.00",0.28,0.04,156,2022-08-22,,202208,202408,,FP,F3,,202408
D001,8000015,上海凌博商贸有限公司,CN5741,ML 扬州 砂之船奥莱 FO,7,"70,591.78",0.14,"20,833.33","6,066.64",0.2,0.03,207,2022-08-02,,202208,202408,,FO,O1,,202408
D002,8000028,河南金安芯商贸有限公司,CN5740,ML 新乡 胖东来城市广场,8,"111,675.81",0.21,"29,166.67","4,100.00",0.28,0.04,132,2022-08-05,,202208,202408,,FP,F3,,202408
D008,8000027,沈阳固孚固贸易有限公司,CN5739,ML 沈阳 沈辽路万达,7,"85,486.50",0,"33,000.00","4,400.00",0.26,0.04,185,2022-08-06,,202208,202408,,FP,F3,,202408
D001,8000015,上海凌博商贸有限公司,CN5738,ML 常州 金坛吾悦,5,"39,382.27",0.1,"22,916.67","4,610.09",0.25,0.03,158,2022-08-05,,202208,202408,,FP,F3,,202408
D072,8000385,云南恒磐商贸有限公司,CN5737,ML 大理白族自治州 爱琴海,6,"44,600.00",0.1,"22,916.67","3,670.51",0.29,0.03,176,2022-09-10,,202209,202409,,FP,F4,,202409
D001,8000015,上海凌博商贸有限公司,CN5736,ML 南京 金象城,5,"10,488.49",0.09,"22,916.67","4,548.52",0.26,0.03,244,2022-09-25,,202209,202409,,FP,F4,,202409
D001,8000015,上海凌博商贸有限公司,CN5735,ML 南通 海门龙信,7,"27,189.06",0.07,"22,916.67","3,914.01",0.25,0.03,213,2022-08-31,,202208,202408,,FP,F3,,202408
D027,8000003,常春藤(广州)投资有限公司,CN5734,ML 惠州 华贸天地,8,"104,481.90",0.14,"39,753.24","3,052.62",0.24,0.04,211,2022-08-02,,202208,202408,,FP,F2,2025-09-20,202709
D072,8000385,云南恒磐商贸有限公司,CN5733,ML 普洱 创基,6,"34,100.00",0,"22,916.67","3,082.30",0.3,0.03,128,2022-07-17,,202207,202407,,FP,F4,,202407
