전년할인율,brand,ON/OFF,fr_or_cls,REGION,SUB REGION,account_nm_cn,account_id,POS CHANNEL,New code,Original code,Store Name,PROVINCE,CITY,trade_zone,KEY STORE,UPGRADE ACTION,UPGRADE FLAG, UPGRADE DATE ,REOPEN DATE,Open Date,Open YM,Close Date,Close YM, Original Space CAD , Original Space Sell ,Original Floor,Original Shop Location Level,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
4.8430%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5072,CN5072,ML 杭州 湖滨银泰IN77C馆,浙江省,杭州市,F1,#REF!,,Y25 UPGRADE,2025-03-01,2025-03-28,2020-12-24,202012,,999999,192,151,3F,A,1489835.776,1541715.875,1104486.736,1169647.732,1190482.634,967042.7994,964386.6775,1118186.851,1192004.175,1428741.436,1318061.821,1495407.488
7.3951%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5510,CN5510,ML 杭州 银泰武林总店C馆,浙江省,杭州市,F1,#REF!,,Y25 UPGRADE,2025-04-10,2025-05-01,2021-12-24,202112,,999999,248,193,1F,A,1237220.097,1280303.437,917210.6141,971322.9498,988625.0976,803071.5904,800865.839,928587.7456,989888.6472,1186484.877,1094572.033,1241847.073
2.8951%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5071,CN5071,ML 合肥 万象城北区,安徽省,合肥市,F1,#REF!,,Y24 UPGRADE,2024-07-27,2024-07-27,2021-01-01,202101,,999999,363,340,4F,A,1289931.243,1334850.126,956287.9152,1012705.68,1030744.977,837286.0552,834986.3289,968149.7637,1032062.36,1237034.474,1141205.729,1294755.348
6.0569%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5715,CN5715,ML 杭州 大厦购物城C馆,浙江省,杭州市,F2,#REF!,,Existing,,,2022-07-15,202207,,999999,136,119,3F,A,372956.219,385943.56,276490.3378,292802.3362,298018.0158,242083.4778,241418.5608,279919.9394,298398.9089,357662.242,329955.3957,374351.0066
0.9211%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5528,CN5528,ML 安庆 新城吾悦,安徽省,安庆市,F3,#REF!,,Existing,,,2022-01-15,202201,,999999,192,164,1F,,785244.893,709106.9677,508004.9141,537975.4923,647558.4343,444788.0432,443566.369,514306.2353,548258.262,657144.7593,606238.0471,687807.5828
4.5669%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5110,CN5110,ML 杭州 金沙龙湖天街,浙江省,杭州市,F3,#REF!,,Existing,,,2021-03-26,202103,,999999,170,137,1F,,381907.1682,395206.2055,283126.106,299829.5922,305170.4481,247893.4813,247212.6062,286638.0179,305560.4827,366246.1358,337874.3252,383335.4308
12.0414%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5164,CN5164,ML 宿州 埇桥万达,安徽省,宿州市,F3,#REF!,,Y26 CLOSE,,,2021-05-01,202105,2026-03-31,202603,271,223,1F,,370000,370000,170000,0,0,0,0,0,0,0,0,0
28.0707%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FO,CN6391,CN6391,ML 合肥 杉杉奥莱 FO,安徽省,合肥市,O1,#REF!,,Existing,,,2024-12-07,202412,,999999,391,306,1F,,1030000,500000,760000,590000,700000,800000,600000,700000,700000,650000,800000,900000
10.6519%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,OTHERS,CN5921,CN5921,ML 合肥 砂之船奥莱 POP,安徽省,合肥市,POP-UP,#REF!,,OTHERS,,,2022-12-16,202212,2023-01-31,202301,100,100,1F,,0,0,0,0,0,0,0,0,0,0,0,0
10.6519%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,OTHERS,CN5757,CN5757,ML 湖州 安吉浙北大厦 POP,浙江省,湖州市,POP-UP,#REF!,,OTHERS,,,2022-08-16,202208,2022-10-30,202210,53,50,1F,,0,0,0,0,0,0,0,0,0,0,0,0
10.6519%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,OTHERS,CN4093,CN4093,MLB 杭州宇振 合肥内购仓,浙江省,杭州市,DC,#REF!,,OTHERS,,,2020-01-01,202001,,999999,,,,,0,0,0,0,0,0,0,0,0,0,0,0
62.3923%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,OTHERS,CN4031,CN4031,MLB 杭州宇振内购仓,浙江省,杭州市,DC,#REF!,,OTHERS,,,2020-01-01,202001,,999999,,,,,25035,40691,212819,32190,1947788,43135,225414,56283,40591,16116,342250,0
8.8026%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5111,CN5111,ML 宁波 阪急,浙江省,宁波市,F1,#REF!,,Y24 UPGRADE,2024-07-20,2024-07-20,2021-04-16,202104,,999999,219,174,4F,A,644468.3464,666910.4718,477775.3038,505962.4369,514975.1312,418320.2497,417171.273,483701.6552,515633.3146,618040.3541,570162.9238,646878.5394
5.5989%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5183,CN5183,ML 温州 万象城,浙江省,温州市,F1,#REF!,,Y25 UPGRADE,2025-03-01,2025-04-04,2021-05-28,202105,,999999,238,192,2F,A,1115885.007,1154743.132,827259.0908,876064.5898,891669.9032,724313.7656,722324.3339,837520.4586,892809.5355,1070125.428,987226.5441,1120058.212
5.4099%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5088,CN5088,ML 杭州 滨江龙湖,浙江省,杭州市,F2,#REF!,,Y24 UPGRADE,2024-06-30,2024-06-30,2021-01-22,202101,,999999,237,185,1F,A,947806.0711,980811.2339,702654.1119,744108.3369,757363.1174,615214.8116,613525.0358,711369.8726,758331.0939,908938.9776,838526.6457,951350.6915
4.0774%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6198,CN6198,ML 杭州 城北万象城,浙江省,杭州市,F2,#REF!,,Existing,,,2023-11-10,202311,,999999,180,140,1F,A,623582.7981,645297.6324,462291.8449,489565.506,498286.1224,404763.5749,403651.8336,468026.1386,498922.9757,598011.2686,551685.4217,625914.883
7.4710%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5279,CN5279,ML 杭州 城西银泰百货,浙江省,杭州市,F2,#REF!,,Y26 Upgrade,2026-09-01,2026-10-01,2021-07-23,202107,,999999,182,156,B1,A,1000000,1000000,702654.1119,744108.3369,757363.1174,615214.8116,613525.0358,711369.8726,458331.0939,908938.9776,938526.6457,951350.6915
8.0068%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5060,CN5060,ML 杭州 嘉里中心,浙江省,杭州市,F2,#REF!,,Existing,,,2020-12-11,202012,,999999,287,240,B1,A,455503.8621,471365.7347,337686.866,357609.2532,363979.3366,295664.6209,294852.5356,341875.5526,364444.5341,436824.8182,402985.5233,457207.3627
5.8394%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5090,CN5090,ML 杭州 临平银泰城,浙江省,杭州市,F2,#REF!,,Y24 UPGRADE,2024-11-08,2024-11-08,2021-01-29,202101,,999999,198,175,1F,A,919958.6734,951994.1148,682009.5,722245.7625,735111.1056,597139.2453,595499.1166,690469.1838,736050.642,882233.5302,813889.9762,923399.1496
7.0715%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5168,CN5168,ML 杭州 西溪印象城,浙江省,杭州市,F2,#REF!,,Y25 UPGRADE,2025-07-31,2025-08-31,2021-05-01,202105,,999999,190,135,1F,A,916975.0237,948906.5663,679797.5773,719903.3438,732726.9614,595202.5774,593567.7681,688229.8243,733663.4507,879372.2323,811250.333,920404.3416
4.0735%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6316,CN6316,ML 合肥 包河万象汇,安徽省,合肥市,F2,#REF!,,Existing,,,2024-05-25,202405,,999999,221,177,1F,A,740000,340000,460000,450000,480000,430000,390000,400000,390000,680000,730000,700000
10.6519%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5049,CN5049,ML 合肥 天鹅湖万达,安徽省,合肥市,F2,#REF!,,CLOSED,,,2020-11-22,202011,2023-10-07,202310,184,161,1F,,0,0,0,0,0,0,0,0,0,0,0,0
5.4671%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5844,CN5844,ML 合肥 之心城,安徽省,合肥市,F2,#REF!,,Y25 UPGRADE,2025-07-01,2025-07-26,2022-10-01,202210,,999999,291,234,2F,A,686239.4429,710136.1505,508742.2216,538756.2985,548353.149,445433.5992,444210.1518,515052.6885,549053.9924,658098.5252,607117.9282,688805.8522
7.0805%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5165,CN5165,ML 湖州 浙北大厦,浙江省,湖州市,F2,#REF!,,Y24 UPGRADE,2024-09-20,2024-09-20,2021-05-01,202105,,999999,152,146,5F,A,973664.369,1007569.987,721824.1087,764409.2989,778025.6998,631999.2661,630263.3894,730777.6551,779020.0849,933736.8931,861403.5532,977305.6946
0.8906%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5167,CN5167,ML 嘉兴 八佰伴,浙江省,嘉兴市,F2,#REF!,,Y25 UPGRADE,2025-06-10,2025-07-05,2021-05-01,202105,,999999,232,188,5F,A,1804113.55,1866937.648,1337475.928,1416382.501,1441612.482,1171038.477,1167822.051,1354066.053,1443454.989,1730131.485,1596104.234,1810860.603
6.7145%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5382,CN5382,ML 金华 义乌之心,浙江省,金华市,F2,#REF!,,Y26 Upgrade,2026-05-16,2026-06-15,2021-10-01,202110,,999999,150,126,1F,A,1768854.761,1826968.783,1237202.098,1310192.854,833531.2812,1083242.869,1080267.587,1252548.422,1335235.651,1600419.312,1676440.411,1675095.971
5.4931%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5372,CN5372,ML 马鞍山 金鹰,安徽省,马鞍山市,F2,#REF!,,Y26 Upgrade,2026-04-01,2026-05-01,2021-09-11,202109,,999999,170,137,1F,A,1660000,760000,690000,120000,540000,610000,500000,550000,440000,630000,580000,830000
8.0418%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5087,CN5087,ML 宁波 天一广场,浙江省,宁波市,F2,#REF!,,Y24 UPGRADE,2024-01-31,2024-01-31,2021-01-22,202101,,999999,469,383,1F+2F,A,941838.7716,974636.137,698230.2665,739423.4996,752594.8292,611341.476,609662.3388,706891.1536,753556.7113,903216.3817,833247.3594,945361.0753
8.7609%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5166,CN5166,ML 宁波 天一银泰,浙江省,宁波市,F2,#REF!,,Y25 UPGRADE,2025-04-07,2025-04-30,2021-05-01,202105,,999999,145,135,4F,A,1194454.451,1236048.575,885506.3887,937748.2819,954452.3652,775312.6849,773183.1773,896490.2592,955672.239,1145472.94,1056737.147,1198921.49
6.1867%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5184,CN5184,ML 宁波 万象城,浙江省,宁波市,F2,#REF!,,Y26 Upgrade,2026-05-16,2026-06-15,2021-05-29,202105,,999999,180,151,B1,B,613187.7573,631058.3386,380450.7049,402896.0145,310072.7897,233106.8655,332191.9396,385169.8366,410596.8987,492143.245,454018.6245,515106.9851
9.7669%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5224,CN5224,ML 绍兴 银泰城,浙江省,绍兴市,F2,#REF!,,Y25 UPGRADE,2025-09-01,2025-10-01,2021-08-13,202108,,999999,281,228,1F,A,1300871.292,1346171.137,964398.2984,1021294.548,1039486.839,844387.1706,842067.94,976360.7485,1040815.394,1247525.9,1150884.42,1305736.311
4.6013%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5188,CN5188,ML 台州 温岭银泰城,浙江省,台州市,F2,#REF!,,Y26 Upgrade,2026-04-01,2026-05-01,2021-06-18,202106,,999999,198,132,1F,A,752424.7457,775143.9344,483673.7643,312208.8867,521332.8489,423484.6972,422321.5357,489673.2806,521999.158,625670.482,577201.9723,654864.6942
2.6181%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6222,CN6222,ML 温州 滨江万象城,浙江省,温州市,F2,#REF!,,Existing,,,2023-12-03,202312,,999999,180,149,2F,A,642479.2465,664852.1061,476300.6887,504400.8244,513385.7018,417029.1378,415883.7074,482208.7489,514041.8538,616132.8222,568403.1617,644882.0007
6.9522%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5717,CN5717,ML 芜湖 八佰伴,安徽省,芜湖市,F2,#REF!,,Y24 UPGRADE,2024-05-31,2024-05-31,2022-07-23,202207,,999999,214,168,3F,A,927915.0728,960227.5774,687907.9606,728492.2123,741468.8232,602303.6928,600649.3792,696440.8092,742416.4854,889863.658,820929.0246,931385.3044
4.5106%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5374,CN5374,ML 蚌埠 银泰城,安徽省,蚌埠市,F3,#REF!,,Y26 Upgrade,2026-04-01,2026-05-01,2021-09-19,202109,,999999,145,130,1F,,820000,670000,430000,170000,420000,370000,300000,450000,430000,670000,530000,780000
3.3893%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5812,CN5812,ML 亳州 高新万达,安徽省,亳州市,F3,#REF!,,Existing,,,2022-10-01,202210,,999999,195,158,1F,,831443.7308,860396.8432,616389.1265,652754.0081,664381.4965,539684.7665,538202.4448,624034.8515,665230.6343,797348.3581,735580.5622,834553.1774
0.7370%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6147,CN6147,ML 亳州 金瑞宏泰,安徽省,亳州市,F3,#REF!,,Existing,,,2023-09-09,202309,,999999,196,157,1F,,0,0,0,0,0,0,0,0,0,0,0,0
0.0055%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5520,CN5520,ML 阜阳 时代广场,安徽省,阜阳市,F3,#REF!,,Existing,,,2021-12-24,202112,,999999,223,182,1F,,358058.259,370526.813,265445.7654,281106.1712,286113.5073,232413.308,231774.9515,268738.3694,286479.1855,343375.2091,316775.1295,359397.331
0.0000%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5519,CN5519,ML 阜阳 颍州万达,安徽省,阜阳市,F3,#REF!,,Existing,,,2021-12-19,202112,,999999,173,143,1F,,1210000,1070000,650000,730000,670000,540000,500000,610000,530000,530000,550000,700000
5.4409%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5379,CN5379,ML 杭州 奥体印象城,浙江省,杭州市,F3,#REF!,,Y26 Upgrade,2026-09-01,2026-10-01,2021-09-30,202109,,999999,324,290,1F,,631089.6558,649583.6295,393722.2411,416950.5267,424377.6545,344726.8724,343780.0306,398605.9937,124920.0463,509311.0326,469856.4835,633075.8334
7.6172%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5381,CN5381,ML 杭州 滨江宝龙城市广场,浙江省,杭州市,F3,#REF!,,Y26 CLOSE,,,2021-09-30,202109,2026-02-28,202602,187,158,1F,,0,0,0,0,0,0,0,0,0,0,0,0
10.5837%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6319,CN6319,ML 杭州 滨江银泰,浙江省,杭州市,F3,#REF!,,Y26 CLOSE,,,2024-07-20,202407,2026-08-31,202608,237,185,1F,,160000,150000,110000,160000,140000,130000,220000,250000,0,0,0,0
4.4324%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5941,CN5941,ML 杭州 大悦城,浙江省,杭州市,F3,#REF!,,Existing,,,2023-01-01,202301,,999999,190,146,1F,,298364.9752,308754.848,221192.2703,234241.8689,238414.4126,193666.7822,193134.8486,223935.9515,238719.1271,286129.7936,263964.3166,299480.8053
6.2194%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5020,CN5020,ML 杭州 来福士,浙江省,杭州市,F3,#REF!,,Y25 CLOSE,,,2021-12-25,202112,2025-12-31,202512,194,165,1F,,0,0,0,0,0,0,0,0,0,0,0,0
7.1490%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5187,CN5187,ML 杭州 庆春银泰百货,浙江省,杭州市,F3,#REF!,,Existing,,,2021-07-30,202107,,999999,177,153,5F,A,790667.1842,818200.3473,586159.5162,620740.9526,631798.1934,513216.973,511807.3489,593430.2715,632605.6869,758243.953,699505.439,793624.134
5.5201%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5709,CN5709,ML 杭州 未来科技城万达,浙江省,杭州市,F3,#REF!,,Existing,,,2022-07-26,202207,,999999,190,169,1F,,304332.2747,314929.945,225616.1157,238926.7063,243182.7009,197540.1179,196997.5456,228414.6705,243493.5097,291852.3895,269243.6029,305470.4214
6.4794%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6214,CN6214,ML 杭州 西溪龙湖天街,浙江省,杭州市,F3,#REF!,,Y26 CLOSE,,,2023-11-16,202311,2026-11-01,202611,232,193,1F,,250000,220000,230000,280000,220000,290000,270000,270000,270000,320000,320000,0
2.8556%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5376,CN5376,ML 杭州 萧山银隆百货,浙江省,杭州市,F3,#REF!,,Existing,,,2023-10-01,202310,,999999,190,150,1F,,489318.5593,506357.9508,362755.3233,384156.665,390999.6367,317613.5229,316741.1518,367254.9605,391499.3685,469252.8615,432901.4792,491148.5207
6.5283%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5493,CN5493,ML 杭州 萧山银泰百货,浙江省,杭州市,F3,#REF!,,Existing,,,2021-12-18,202112,,999999,170,142,1F,,393841.7672,407556.3994,291973.7968,309199.267,314707.0247,255640.1526,254938.0002,295595.456,315109.2478,377691.3275,348432.8979,395314.663
5.3557%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6454,CN6454,ML 杭州 亚奥万象天地,浙江省,杭州市,F3,#REF!,,Y25 NEW,,,2025-09-30,202509,,999999,170,170,1F,,249632.0292,258324.8895,185064.1995,195982.3637,199473.3919,162034.5411,161589.49,187359.7461,199728.3364,239395.2606,220850.1449,250565.6071
6.6186%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5936,CN5936,ML 合肥 百大鼓楼,安徽省,合肥市,F3,#REF!,,Existing,,,2023-01-01,202301,,999999,241,206,1F,A,880000,650000,480000,260000,480000,410000,460311.46,530000,480000,630000,530000,730000
6.6330%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5602,CN5602,ML 合肥 包河万达,安徽省,合肥市,F3,#REF!,,Existing,,,2022-05-01,202205,,999999,171,151,1F,,474400.3105,490920.2084,351695.7097,372444.5716,379078.9161,307930.1838,307084.4093,356058.1629,379563.4122,454946.3718,419703.2634,476174.4804
6.4473%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5527,CN5527,ML 合肥 滨湖世纪金源,安徽省,合肥市,F3,#REF!,,Existing,,,2022-01-14,202201,,999999,187,158,1F,,505244.893,502256.7873,309669.1784,327938.6165,333780.1777,271133.4951,270388.7881,313510.3321,334206.778,400581.711,369550.0432,419273.1274
6.0955%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5189,CN5189,ML 合肥 步行街百盛,安徽省,合肥市,F3,#REF!,,Y25 UPGRADE,2025-08-10,2025-09-10,2021-09-16,202109,,999999,235,192,1F,A,636511.947,658677.0092,471876.8433,499715.987,508617.4136,413155.8021,412021.0104,477730.0299,509267.4712,610410.2263,563123.8754,638892.3846
3.9516%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6038,CN6038,ML 合肥 万科广场,安徽省,合肥市,F3,#REF!,,Existing,,,2023-05-26,202305,,999999,171,145,1F,,340000,300000,290000,240000,210000,200000,240000,240000,220000,270000,480000,500000
12.3738%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6143,CN6143,ML 合肥 政务银泰城,安徽省,合肥市,F3,#REF!,,Y26 CLOSE,,,2023-09-23,202309,2026-03-31,202603,173,139,1F,,420000,440000,170000,0,0,0,0,0,0,0,0,0
10.7521%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5902,CN5902,ML 湖州 爱山银泰城,浙江省,湖州市,F3,#REF!,,Existing,,,2022-12-16,202212,,999999,190,164,1F,,310299.5742,321105.042,230039.9611,243611.5437,247950.9891,201413.4535,200860.2426,232893.3896,248267.8922,297574.9853,274522.8893,311460.0375
5.5104%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5974,CN5974,ML 湖州 安吉浙北大厦,浙江省,湖州市,F3,#REF!,,Existing,,,2023-04-29,202304,,999999,190,157,4F,,561920.7032,581488.2971,416578.7757,441155.5198,449013.8104,364739.1066,363737.2983,421746.042,449587.6894,538877.7779,497132.7963,564022.1833
6.0655%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6028,CN6028,ML 湖州 长兴八佰伴,浙江省,湖州市,F3,#REF!,,Existing,,,2023-05-01,202305,,999999,178,141,1F,,321239.6233,332426.0531,238150.3443,252200.4122,256692.8509,208514.5689,207941.8537,241104.3745,257020.9269,308066.4111,284201.5809,322441.0004
3.5873%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5375,CN5375,ML 淮北 万达,安徽省,淮北市,F3,#REF!,,Existing,,,2021-09-19,202109,,999999,257,227,1F,,764297.5425,790912.4436,566610.4357,600038.5423,610727.0116,496100.6085,494737.997,573638.7031,611507.5743,732955.6626,676176.1442,767155.8747
3.7018%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5377,CN5377,ML 嘉兴 海宁银泰城,浙江省,嘉兴市,F3,#REF!,,Existing,,,2021-10-01,202110,,999999,184,167,1F,A,835966.9388,861595.2918,545607.6,577796.61,588088.8844,477711.3962,476399.2933,252375.347,588840.5136,705786.8242,651111.9809,838719.3197
2.4430%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5186,CN5186,ML 嘉兴 南湖天地,浙江省,嘉兴市,F3,#REF!,,Existing,,,2021-06-19,202106,,999999,190,148,1F,,395830.8671,409614.7651,293448.4119,310760.8794,316296.4541,256931.2644,256225.5658,297088.3623,316700.7087,379598.8595,350192.66,397311.2017
5.4713%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5730,CN5730,ML 嘉兴 南湖万达,浙江省,嘉兴市,F3,#REF!,,Existing,,,2022-10-01,202210,,999999,229,186,1F,,760830.6867,787324.8625,564040.2892,597316.7657,607956.7522,493850.2947,492493.864,571036.6763,608733.7742,729630.9736,673109.0073,763676.0535
4.1947%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6330,CN6330,ML 嘉兴 桐乡万象汇,浙江省,嘉兴市,F3,#REF!,,Existing,,,2024-06-30,202406,,999999,230,182,1F,,654413.8455,677202.3,485148.3795,513770.4992,522922.2783,424775.8091,423609.1013,491166.187,523590.6189,627578.0139,578961.7344,656861.2329
4.0028%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6318,CN6318,ML 金华 义乌天地,浙江省,金华市,F3,#REF!,,Existing,,,2024-07-20,202407,,999999,268,224,1F,,754863.3872,781149.7655,559616.4438,592631.9284,603188.4639,489976.9591,488631.167,566557.9573,603959.3917,723908.3778,667829.721,757686.4374
6.9461%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6223,CN6223,ML 金华 义乌万达,浙江省,金华市,F3,#REF!,,Existing,,,2023-12-01,202312,,999999,158,125,1F,,529100.556,547525.2639,392247.626,415388.9142,422788.225,343435.7605,342492.4649,397113.0873,423328.5855,507403.5006,468096.7214,531079.2947
5.5579%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5973,CN5973,ML 金华 义乌伊美银泰百货,浙江省,金华市,F3,#REF!,,Existing,,,2023-04-01,202304,,999999,180,140,6F,,631539.1974,653531.095,468190.3054,495811.9559,504643.84,409928.0224,408802.0963,473997.764,505288.8191,605641.3964,558724.4701,633901.0378
10.6519%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5904,CN5904,ML 金华 义乌印悦城,浙江省,金华市,F3,#REF!,,CLOSED,,,2022-12-31,202212,2024-02-29,202402,221,161,1F,,0,0,0,0,0,0,0,0,0,0,0,0
5.7617%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5920,CN5920,ML 金华 银泰城,浙江省,金华市,F3,#REF!,,Existing,,,2023-01-01,202301,,999999,180,138,1F,,702152.2416,726603.0757,520539.1427,551249.1982,561068.5844,455762.4942,454510.6771,526995.9392,561785.6792,673358.7809,621196.0251,704778.1618
10.6519%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5233,CN5233,ML 金华 永盛,浙江省,金华市,F3,#REF!,,CLOSED,,,2021-07-06,202107,2024-07-25,202407,180,162,1F,,0,0,0,0,0,0,0,0,0,0,0,0
7.2504%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5787,CN5787,ML 丽水 银泰城,浙江省,丽水市,F3,#REF!,,Existing,,,2022-12-23,202212,,999999,227,197,1F,,311294.1241,322134.2248,230777.2687,244392.3499,248745.7038,202059.0095,201504.0254,233639.8427,249063.6226,298528.7513,275402.7703,312458.3068
3.8831%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN6308,CN6308,ML 六安 百大金商都,安徽省,六安市,F3,#REF!,,Existing,,,2024-05-01,202405,,999999,224,178,1F,,520000,530000,310000,230000,250000,190000,230000,280000,330000,410000,450000,600000
4.5909%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5652,CN5652,ML 六安 百大金商都解放路店,安徽省,六安市,F3,#REF!,,Y25 CLOSE,,,2022-07-08,202207,2025-08-31,202508,185,171,1F,,0,0,0,0,0,0,0,0,0,0,0,0
16.8362%,MLB,Offline,FR,CENTRAL,华东,杭州宇振商业有限公司,D012,FP,CN5708,CN5708,ML 马鞍山 万达,安徽省,马鞍山市,F3,#REF!,,Existing,,,2022-07-16,202207,,999999,198,157,1F,,348092.471,360213.9894,258057.6487,273282.1804,278150.148,225944.5793,225323.9901,261258.6101,278505.6483,333818.0925,307958.3694,349394.2728
